occurrence_id,catalogue_id,manufacturer,source_pdf,sku,sku_normalized,registry_status,registry_match,pdf_page,table,code_position,source_rows,source_columns,page_relationship,method
GEWISS-2025-26-0000001,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 008,GW64008,confirmed,exact_normalized,65,1,multiple_codes_in_row,1,6,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000002,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 010,GW64010,confirmed,exact_normalized,65,1,multiple_codes_in_row,3,6,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000003,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 011,GW64011,confirmed,exact_normalized,65,1,multiple_codes_in_row,4,6,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000004,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 012,GW64012,confirmed,exact_normalized,65,1,multiple_codes_in_row,5,6,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000005,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 013,GW64013,confirmed,exact_normalized,65,1,multiple_codes_in_row,6,6,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000006,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 014,GW64014,confirmed,exact_normalized,65,1,multiple_codes_in_row,7,6,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000007,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 022,GW64022,confirmed,exact_normalized,65,1,multiple_codes_in_row,1,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000008,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 023,GW64023,confirmed,exact_normalized,65,1,internal_matrix_cell,2,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000009,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 024,GW64024,confirmed,exact_normalized,65,1,multiple_codes_in_row,3,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000010,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 025,GW64025,confirmed,exact_normalized,65,1,multiple_codes_in_row,4,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000011,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 026,GW64026,confirmed,exact_normalized,65,1,multiple_codes_in_row,5,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000012,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 027,GW64027,confirmed,exact_normalized,65,1,multiple_codes_in_row,6,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000013,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 028,GW64028,confirmed,exact_normalized,65,1,multiple_codes_in_row,7,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000014,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 050,GW64050,confirmed,exact_normalized,65,1,internal_matrix_cell,9,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000015,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 052,GW64052,confirmed,exact_normalized,65,1,internal_matrix_cell,10,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000016,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 055,GW64055,confirmed,exact_normalized,65,1,internal_matrix_cell,11,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000017,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 056,GW64056,confirmed,exact_normalized,65,1,internal_matrix_cell,12,7,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000018,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 068,GW64068,confirmed,exact_normalized,65,1,right_row_index,8,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000019,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 059,GW64059,confirmed,exact_normalized,65,2,right_row_index,1,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000020,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 060,GW64060,confirmed,exact_normalized,65,2,right_row_index,2,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000021,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 061,GW64061,confirmed,exact_normalized,65,2,right_row_index,6,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000022,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 062,GW64062,confirmed,exact_normalized,65,2,right_row_index,3,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000023,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 063,GW64063,confirmed,exact_normalized,65,2,right_row_index,4,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000024,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 064,GW64064,confirmed,exact_normalized,65,2,right_row_index,5,8,outside_index_window,pymupdf_grid_hybrid_normalized
GEWISS-2025-26-0000025,GEWISS-2025-26,GEWISS,gewiss-trade-catalogue-2025---2026-en.pdf,GW 64 065,GW64065,confirmed,exact_normalized,65,2,right_row_index,7,8,outside_index_window,pymupdf_grid_hybrid_normalized
