Straight connectors | IP44/IP54 | Fast wiring,Straight connectors | IP44/IP54 | Screw wiring,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,APPLICATIONS
GW 62 001 FH,GW 62 001 H,GW 62 023 FH,GW 62 023 H,GW 62 201 FH,GW 62 201 H,GW 62 224 FH,GW 62 224 H,Standard use
GW 62 002 FH,GW 62 002 H,GW 62 024 FH,GW 62 024 H,GW 62 202 FH,GW 62 202 H,GW 62 225 FH,GW 62 225 H,Standard use
GW 62 003 FH,GW 62 003 H,GW 62 025 FH,GW 62 025 H,GW 62 203 FH,GW 62 203 H,GW 62 226 FH,GW 62 226 H,Standard use
GW 62 004 FH,GW 62 004 H,GW 62 026 FH,GW 62 026 H,GW 62 205 FH,GW 62 205 H (**),GW 62 227 FH,GW 62 227 H,Standard use
GW 62 005 FH,GW 62 005 H,GW 62 027 FH,GW 62 027 H,GW 62 206 FH,GW 62 206 H,GW 62 228 FH,GW 62 228 H,Standard use
GW 62 006 FH,GW 62 006 H,GW 62 028 FH,GW 62 028 H,GW 62 207 FH,GW 62 207 H,GW 62 229 FH,GW 62 229 H,Standard use
GW 62 007 FH,GW 62 007 H,GW 62 029 FH,GW 62 029 H,GW 62 208 FH,GW 62 208 H,GW 62 230 FH,GW 62 230 H,Standard use
GW 62 008 FH,GW 62 008 H,GW 62 030 FH,GW 62 030 H,GW 62 209 FH,GW 62 209 H,GW 62 231 FH,GW 62 231 H,Standard use
GW 62 009 FH,GW 62 009 H,GW 62 031 FH,GW 62 031 H,GW 62 210 FH,GW 62 210 H,GW 62 232 FH,GW 62 232 H,Standard use
,GW 62 701 H,,GW 62 735 H,,GW 62 801 H,,GW 62 835 H,Use with particular voltage
,GW 62 010 H,,GW 62 032 H,,GW 62 211 H,,GW 62 233 H,Use with particular voltage
,GW 62 011 H,,GW 62 033 H,,GW 62 212 H,,GW 62 234 H,Use with particular voltage
,GW 62 702 H,,GW 62 736 H,,GW 62 802 H,,GW 62 836 H,Use with particular voltage
,GW 62 703 H,,GW 62 737 H,,GW 62 803 H,,GW 62 837 H,Use with particular voltage
,GW 62 704 H,,GW 62 738 H,,GW 62 804 H,,GW 62 838 H,Use with high frequencies
,GW 62 705 H,,GW 62 739 H,,GW 62 805 H,,GW 62 839 H,Use with high frequencies
,GW 62 706 H,,GW 62 740 H,,GW 62 806 H,,GW 62 840 H,Use with high frequencies
,GW 62 707 H,,GW 62 741 H,,GW 62 807 H,,GW 62 841 H,Use with high frequencies
,GW 62 708 H,,GW 62 742 H,,GW 62 808 H,,GW 62 842 H,Use with high frequencies
,GW 62 709 H,,GW 62 743 H,,GW 62 809 H,,GW 62 843 H,Use with high frequencies
,GW 62 710 H,,GW 62 744 H,,GW 62 810 H,,GW 62 844 H,"Marine, port and naval, installations"
,GW 62 711 H,,GW 62 745 H,,GW 62 811 H,,GW 62 845 H,"Marine, port and naval, installations"
,GW 62 712 H,,GW 62 746 H,,GW 62 812 H,,GW 62 846 H,Refrigeretion containers
,GW 62 713 H,,GW 62 747 H,,GW 62 813 H,,GW 62 847 H,Refrigeretion containers
,GW 62 714 H,,GW 62 748 H,,GW 62 814 H,,GW 62 848 H,Isolation transformers
,GW 62 715 H,,GW 62 749 H,,GW 62 815 H,,GW 62 849 H,Isolation transformers
,GW 62 716 H,,GW 62 750 H,,GW 62 816 H,,GW 62 850 H,Use in direct current
,GW 62 717 H,,GW 62 751 H,,GW 62 817 H,,GW 62 851 H,Use in direct current
GW 62 012 FH,GW 62 012 H,GW 62 034 FH,GW 62 034 H,GW 62 213 FH,GW 62 213 H,GW 62 235 FH,GW 62 235 H,Standard use
GW 62 013 FH,GW 62 013 H,GW 62 035 FH,GW 62 035 H,GW 62 214 FH,GW 62 214 H,GW 62 236 FH,GW 62 236 H,Standard use
GW 62 014 FH,GW 62 014 H,GW 62 036 FH,GW 62 036 H,GW 62 215 FH,GW 62 215 H,GW 62 237 FH,GW 62 237 H,Standard use
GW 62 015 FH,GW 62 015 H,GW 62 037 FH,GW 62 037 H,GW 62 216 FH,GW 62 216 H,GW 62 238 FH,GW 62 238 H,Standard use
GW 62 016 FH,GW 62 016 H,GW 62 038 FH,GW 62 038 H,GW 62 217 FH,GW 62 217 H,GW 62 239 FH,GW 62 239 H,Standard use
GW 62 017 FH,GW 62 017 H,GW 62 039 FH,GW 62 039 H,GW 62 218 FH,GW 62 218 H,GW 62 240 FH,GW 62 240 H,Standard use
GW 62 018 FH,GW 62 018 H,GW 62 040 FH,GW 62 040 H,GW 62 219 FH,GW 62 219 H,GW 62 241 FH,GW 62 241 H,Standard use
GW 62 019 FH,GW 62 019 H,GW 62 041 FH,GW 62 041 H,GW 62 220 FH,GW 62 220 H,GW 62 242 FH,GW 62 242 H,Standard use
GW 62 020 FH,GW 62 020 H,GW 62 042 FH,GW 62 042 H,GW 62 221 FH,GW 62 221 H,GW 62 243 FH,GW 62 243 H,Standard use
,GW 62 718 H,,GW 62 752 H,,GW 62 818 H,,GW 62 852 H,Use with particular voltage
,GW 62 021 H,,GW 62 043 H,,GW 62 222 H,,GW 62 244 H,Use with particular voltage
,GW 62 022 H,,GW 62 044 H,,GW 62 223 H,,GW 62 245 H,Use with particular voltage
,GW 62 719 H,,GW 62 753 H,,GW 62 819 H,,GW 62 853 H,Use with particular voltage
,GW 62 720 H,,GW 62 754 H,,GW 62 820 H,,GW 62 854 H,Use with particular voltage
,GW 62 721 H,,GW 62 755 H,,GW 62 821 H,,GW 62 855 H,Use with high frequencies
,GW 62 722 H,,GW 62 756 H,,GW 62 822 H,,GW 62 856 H,Use with high frequencies
,GW 62 723 H,,GW 62 757 H,,GW 62 823 H,,GW 62 857 H,Use with high frequencies
,GW 62 724 H,,GW 62 758 H,,GW 62 824 H,,GW 62 858 H,Use with high frequencies
,GW 62 725 H,,GW 62 759 H,,GW 62 825 H,,GW 62 859 H,Use with high frequencies
,GW 62 726 H,,GW 62 760 H,,GW 62 826 H,,GW 62 860 H,Use with high frequencies
,GW 62 727 H,,GW 62 761 H,,GW 62 827 H,,GW 62 861 H,"Marine, port and naval, installations"
,GW 62 728 H,,GW 62 762 H,,GW 62 828 H,,GW 62 862 H,"Marine, port and naval, installations"
,GW 62 729 H,,GW 62 128 H,,GW 62 829 H,,GW 62 283 H,Refrigeretion containers
,GW 62 730 H,,GW 62 763 H,,GW 62 830 H,,GW 62 863 H,Refrigeretion containers
,GW 62 731 H,,GW 62 764 H,,GW 62 831 H,,GW 62 864 H,Isolation transformers
,GW 62 732 H,,GW 62 765 H,,GW 62 832 H,,GW 62 865 H,Isolation transformers
,GW 62 733 H,,GW 62 766 H,,GW 62 833 H,,GW 62 866 H,Use in direct current
,GW 62 734 H,,GW 62 767 H,,GW 62 834 H,,GW 62 867 H,Use in direct current
