column,header_level,header_text,normalized_header,column_role,bbox,confidence
1,1,Straight connectors,straight_connectors,sku_column,"[42.52, 89.5416259765625, 95.495, 154.73822021484375]",0.98
1,2,IP44/IP54,ip44_ip54,sku_column,"[42.52, 89.5416259765625, 95.495, 154.73822021484375]",0.98
1,3,Fast wiring,fast_wiring,sku_column,"[42.52, 89.5416259765625, 95.495, 154.73822021484375]",0.98
2,1,Straight connectors,straight_connectors,sku_column,"[95.495, 89.5416259765625, 148.47, 154.73822021484375]",0.98
2,2,IP44/IP54,ip44_ip54,sku_column,"[95.495, 89.5416259765625, 148.47, 154.73822021484375]",0.98
2,3,Screw wiring,screw_wiring,sku_column,"[95.495, 89.5416259765625, 148.47, 154.73822021484375]",0.98
3,1,Straight connectors,straight_connectors,sku_column,"[148.47, 89.5416259765625, 201.446, 154.73822021484375]",0.98
3,2,IP66/IP67/IP68/IP69,ip66_ip67_ip68_ip69,sku_column,"[148.47, 89.5416259765625, 201.446, 154.73822021484375]",0.98
3,3,Fast wiring,fast_wiring,sku_column,"[148.47, 89.5416259765625, 201.446, 154.73822021484375]",0.98
4,1,Straight connectors,straight_connectors,sku_column,"[201.446, 89.5416259765625, 254.421, 154.73822021484375]",0.98
4,2,IP66/IP67/IP68/IP69,ip66_ip67_ip68_ip69,sku_column,"[201.446, 89.5416259765625, 254.421, 154.73822021484375]",0.98
4,3,Screw wiring,screw_wiring,sku_column,"[201.446, 89.5416259765625, 254.421, 154.73822021484375]",0.98
5,1,10° flush-mounting,10_flush_mounting,sku_column,"[254.421, 89.5416259765625, 307.396, 154.73822021484375]",0.98
5,2,socket-outlets IP44/IP45,socket_outlets_ip44_ip45,sku_column,"[254.421, 89.5416259765625, 307.396, 154.73822021484375]",0.98
5,3,Fast wiring,fast_wiring,sku_column,"[254.421, 89.5416259765625, 307.396, 154.73822021484375]",0.98
6,1,10° flush-mounting,10_flush_mounting,sku_column,"[307.396, 89.5416259765625, 360.372, 154.73822021484375]",0.98
6,2,socket-outlets IP44/IP45,socket_outlets_ip44_ip45,sku_column,"[307.396, 89.5416259765625, 360.372, 154.73822021484375]",0.98
6,3,Screw wiring,screw_wiring,sku_column,"[307.396, 89.5416259765625, 360.372, 154.73822021484375]",0.98
7,1,10° flush-mounting,10_flush_mounting,sku_column,"[360.372, 89.5416259765625, 413.347, 154.73822021484375]",0.98
7,2,socket-outlets IP66/IP67,socket_outlets_ip66_ip67,sku_column,"[360.372, 89.5416259765625, 413.347, 154.73822021484375]",0.98
7,3,Fast wiring,fast_wiring,sku_column,"[360.372, 89.5416259765625, 413.347, 154.73822021484375]",0.98
8,1,10° flush-mounting,10_flush_mounting,sku_column,"[413.347, 89.5416259765625, 466.322, 154.73822021484375]",0.98
8,2,socket-outlets IP66/IP67,socket_outlets_ip66_ip67,sku_column,"[413.347, 89.5416259765625, 466.322, 154.73822021484375]",0.98
8,3,Screw wiring,screw_wiring,sku_column,"[413.347, 89.5416259765625, 466.322, 154.73822021484375]",0.98
9,1,APPLICATIONS,applications,attribute_column,"[466.322, 89.5416259765625, 552.755, 154.73822021484375]",0.98
